status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
232633627068_10151523201267069,"日本隊贏得很驚險.........
還有，今天緯來體育台的主播是徐展元喔～

【WBC經典賽　日本10:6勝荷蘭　奪分組第1】
http://www.appledaily.com.tw/realtimenews/article/sports/20130312/170210",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151523201267069,2013-03-12 21:43:09,6817,93,90,6817,0,0,0,0,0
232633627068_10151522580042069,"在國外一邊度假一邊打工賺生活費，真的很棒耶...

《比利時開放國人打工度假　年限200人》
http://www.appledaily.com.tw/realtimenews/article/politics/20130312/170096",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151522580042069,2013-03-12 14:05:11,2931,16,182,2931,0,0,0,0,0
232633627068_10151522554092069,"真的很色.....＝　＝

《「色鬼」猥褻女友姊　解衣吻D奶自慰》
http://www.appledaily.com.tw/realtimenews/article/local/20130312/170085",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151522554092069,2013-03-12 13:34:31,2512,210,119,2512,0,0,0,0,0
232633627068_10151522452567069,"痾..........我不懂 >////< (抱頭奔走

女大生兼「足妓」　腳掌任含舔周賺2.4萬
http://www.appledaily.com.tw/realtimenews/article/international/20130312/169986",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151522452567069,2013-03-12 12:09:58,1899,109,127,1899,0,0,0,0,0
232633627068_10151520963692069,"Google地圖雖然方便，但要滋生出不少問題啊...

糗 Google搜國中 跳出辣妹
http://www.appledaily.com.tw/appledaily/article/headline/20130311/34879539/",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151520963692069,2013-03-12 01:00:00,515,33,14,515,0,0,0,0,0
232633627068_10151521078747069,"不知道陳幸妤也有沒有話要說？
http://www.appledaily.com.tw/realtimenews/article/politics/20130311/170047/
馬家「低調」扁家「臭臉」。陳致中：公平嗎？
http://www.appledaily.com.tw/realtimenews/article/politics/20130311/170038/
府：馬唯中嫁台灣人。去年紐約註冊結婚",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151521078747069,2013-03-11 22:31:53,1460,289,78,1460,0,0,0,0,0
232633627068_10151521048062069,"荷蘭靠再見高飛犧牲打，7：6 力克古巴，成為繼日本隊之後，第二支晉級四強球隊！

圖為在複賽第一場比賽，對古巴擊出陽春全壘打，今天打出３安打的荷蘭史密斯（Curt Smith）。

【經典賽8強複賽　7:6荷蘭勝古巴進四強】
http://www.appledaily.com.tw/realtimenews/article/sports/20130311/170050",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151521048062069,2013-03-11 22:08:42,8383,275,401,8383,0,0,0,0,0
232633627068_10151520460832069,"唉呀呀...本來還想說男俊女美兩人挺般配的縮...結果心如姐姐否認了啦...

http://www.appledaily.com.tw/appledaily/article/entertainment/20130311/34879374
林心如拉高格局撇祕戀 霍建華短3公分出局",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151520460832069,2013-03-11 12:38:53,1154,74,17,1154,0,0,0,0,0
232633627068_10151520240462069,"怎麼可以低調成這樣...
謝謝大家關心喔！XDDDD


傳馬唯中早已辦過婚宴　沒人敢向馬英九求證
http://www.appledaily.com.tw/realtimenews/article/politics/20130311/169901",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151520240462069,2013-03-11 09:39:54,2137,275,44,2137,0,0,0,0,0
232633627068_10151518910012069,"你有在玩微單眼嗎？你玩的是哪一款呢？

【微單眼易上手 銷量增豔】
http://www.appledaily.com.tw/appledaily/article/finance/20130310/34877765",Timeline Photos,photo,https://www.facebook.com/232633627068/posts/10151518910012069,2013-03-11 06:00:00,1129,17,31,1129,0,0,0,0,0
